gameNumber,gameLength
3001,19
3002,31
3003,70
3004,26
3005,60
3006,62
3007,51
3008,53
3009,38
3010,53
3011,28
3012,50
3013,23
3014,58
3015,53
3016,29
3017,18
3018,51
3019,10
3020,77
3021,25
3022,23
3023,29
3024,30
3025,15
3026,23
3027,20
3028,32
3029,15
3030,24
3031,53
3032,13
3033,23
3034,21
3035,20
3036,42
3037,13
3038,14
3039,24
3040,60
3041,27
3042,46
3043,20
3044,55
3045,14
3046,56
3047,69
3048,65
3049,16
3050,61
3051,73
3052,51
3053,25
3054,14
3055,73
3056,28
3057,57
3058,97
3059,23
3060,25
3061,20
3062,78
3063,39
3064,28
3065,35
3066,13
3067,75
3068,11
3069,21
3070,89
3071,33
3072,40
3073,10
3074,40
3075,57
3076,32
3077,38
3078,18
3079,14
3080,20
3081,33
3082,42
3083,15
3084,25
3085,23
3086,15
3087,19
3088,22
3089,15
3090,12
3091,46
3092,50
3093,45
3094,60
3095,18
3096,30
3097,12
3098,17
3099,50
3100,20
3101,50
3102,11
3103,105
3104,53
3105,36
3106,37
3107,27
3108,26
3109,20
3110,59
3111,23
3112,38
3113,25
3114,44
3115,34
3116,68
3117,48
3118,17
3119,57
3120,31
3121,22
3122,60
3123,30
3124,58
3125,16
3126,25
3127,52
3128,44
3129,31
3130,44
3131,32
3132,17
3133,26
3134,18
3135,21
3136,55
3137,54
3138,16
3139,39
3140,18
3141,37
3142,61
3143,10
3144,46
3145,60
3146,17
3147,37
3148,17
3149,33
3150,46
3151,33
3152,44
3153,29
3154,37
3155,22
3156,22
3157,45
3158,12
3159,83
3160,26
3161,44
3162,28
3163,12
3164,80
3165,78
3166,67
3167,22
3168,28
3169,92
3170,56
3171,37
3172,29
3173,28
3174,22
3175,19
3176,56
3177,84
3178,21
3179,25
3180,31
3181,18
3182,17
3183,10
3184,58
3185,31
3186,38
3187,14
3188,17
3189,12
3190,59
3191,13
3192,31
3193,36
3194,25
3195,78
3196,24
3197,19
3198,41
3199,69
3200,38
3201,38
3202,16
3203,22
3204,49
3205,45
3206,28
3207,19
3208,41
3209,18
3210,57
3211,34
3212,39
3213,27
3214,33
3215,86
3216,32
3217,41
3218,47
3219,32
3220,19
3221,17
3222,44
3223,81
3224,11
3225,24
3226,30
3227,79
3228,22
3229,29
3230,17
3231,17
3232,55
3233,29
3234,10
3235,17
3236,80
3237,27
3238,56
3239,20
3240,19
3241,93
3242,19
3243,29
3244,34
3245,12
3246,28
3247,27
3248,27
3249,13
3250,29
3251,35
3252,24
3253,96
3254,40
3255,13
3256,10
3257,20
3258,44
3259,49
3260,10
3261,27
3262,37
3263,14
3264,14
3265,44
3266,45
3267,73
3268,13
3269,9
3270,21
3271,38
3272,32
3273,60
3274,40
3275,17
3276,45
3277,12
3278,18
3279,46
3280,19
3281,29
3282,15
3283,30
3284,50
3285,76
3286,20
3287,17
3288,30
3289,15
3290,54
3291,16
3292,59
3293,86
3294,7
3295,60
3296,42
3297,19
3298,18
3299,31
3300,34
3301,18
3302,27
3303,32
3304,90
3305,47
3306,12
3307,48
3308,98
3309,85
3310,16
3311,18
3312,21
3313,41
3314,16
3315,35
3316,28
3317,12
3318,16
3319,20
3320,24
3321,77
3322,40
3323,12
3324,24
3325,39
3326,22
3327,13
3328,19
3329,23
3330,12
3331,30
3332,48
3333,43
3334,74
3335,17
3336,19
3337,19
3338,22
3339,11
3340,40
3341,14
3342,149
3343,29
3344,14
3345,39
3346,39
3347,32
3348,22
3349,30
3350,36
3351,109
3352,15
3353,75
3354,39
3355,20
3356,49
3357,11
3358,18
3359,17
3360,59
3361,90
3362,40
3363,17
3364,36
3365,24
3366,16
3367,16
3368,26
3369,31
3370,38
3371,46
3372,52
3373,21
3374,20
3375,21
3376,9
3377,12
3378,15
3379,28
3380,44
3381,47
3382,17
3383,25
3384,45
3385,28
3386,29
3387,52
3388,12
3389,16
3390,25
3391,38
3392,41
3393,19
3394,40
3395,30
3396,35
3397,49
3398,12
3399,33
3400,21
3401,28
3402,22
3403,30
3404,15
3405,33
3406,9
3407,16
3408,46
3409,21
3410,11
3411,31
3412,12
3413,56
3414,10
3415,37
3416,18
3417,45
3418,43
3419,50
3420,15
3421,22
3422,22
3423,11
3424,38
3425,18
3426,68
3427,49
3428,95
3429,23
3430,26
3431,25
3432,37
3433,73
3434,37
3435,59
3436,54
3437,55
3438,20
3439,48
3440,15
3441,11
3442,41
3443,16
3444,33
3445,45
3446,31
3447,40
3448,28
3449,16
3450,22
3451,41
3452,60
3453,80
3454,25
3455,27
3456,28
3457,19
3458,20
3459,52
3460,47
3461,26
3462,48
3463,27
3464,52
3465,16
3466,66
3467,58
3468,15
3469,56
3470,33
3471,42
3472,29
3473,26
3474,53
3475,31
3476,40
3477,30
3478,40
3479,29
3480,18
3481,28
3482,19
3483,25
3484,13
3485,85
3486,20
3487,60
3488,48
3489,26
3490,15
3491,25
3492,24
3493,23
3494,102
3495,63
3496,21
3497,22
3498,22
3499,20
3500,17
3501,18
3502,37
3503,25
3504,29
3505,28
3506,49
3507,38
3508,12
3509,31
3510,17
3511,31
3512,31
3513,35
3514,29
3515,78
3516,39
3517,37
3518,23
3519,24
3520,49
3521,18
3522,64
3523,67
3524,24
3525,18
3526,9
3527,12
3528,55
3529,51
3530,26
3531,38
3532,24
3533,24
3534,51
3535,35
3536,117
3537,13
3538,59
3539,22
3540,61
3541,67
3542,50
3543,23
3544,38
3545,98
3546,12
3547,34
3548,21
3549,20
3550,23
3551,13
3552,38
3553,41
3554,62
3555,55
3556,15
3557,30
3558,15
3559,60
3560,48
3561,56
3562,73
3563,65
3564,71
3565,34
3566,33
3567,21
3568,16
3569,45
3570,40
3571,125
3572,61
3573,15
3574,94
3575,46
3576,24
3577,9
3578,12
3579,34
3580,14
3581,25
3582,71
3583,64
3584,60
3585,13
3586,34
3587,15
3588,31
3589,13
3590,48
3591,18
3592,20
3593,35
3594,21
3595,56
3596,64
3597,47
3598,19
3599,92
3600,59
3601,79
3602,14
3603,43
3604,17
3605,31
3606,49
3607,25
3608,43
3609,35
3610,117
3611,18
3612,29
3613,43
3614,14
3615,20
3616,97
3617,114
3618,18
3619,20
3620,22
3621,26
3622,55
3623,11
3624,17
3625,55
3626,74
3627,20
3628,21
3629,70
3630,31
3631,38
3632,47
3633,20
3634,34
3635,8
3636,45
3637,40
3638,37
3639,30
3640,8
3641,24
3642,15
3643,74
3644,61
3645,41
3646,56
3647,15
3648,31
3649,35
3650,18
3651,16
3652,37
3653,26
3654,109
3655,59
3656,55
3657,22
3658,22
3659,28
3660,21
3661,25
3662,38
3663,34
3664,66
3665,16
3666,58
3667,48
3668,15
3669,144
3670,62
3671,50
3672,34
3673,20
3674,50
3675,23
3676,36
3677,35
3678,62
3679,14
3680,37
3681,28
3682,39
3683,41
3684,30
3685,79
3686,28
3687,14
3688,28
3689,19
3690,40
3691,26
3692,37
3693,11
3694,49
3695,31
3696,10
3697,26
3698,68
3699,34
3700,17
3701,21
3702,67
3703,52
3704,92
3705,63
3706,21
3707,49
3708,74
3709,33
3710,11
3711,34
3712,32
3713,46
3714,22
3715,56
3716,24
3717,29
3718,27
3719,85
3720,76
3721,26
3722,17
3723,89
3724,49
3725,44
3726,24
3727,21
3728,33
3729,33
3730,50
3731,33
3732,57
3733,28
3734,8
3735,24
3736,14
3737,26
3738,21
3739,21
3740,31
3741,67
3742,45
3743,26
3744,85
3745,15
3746,16
3747,44
3748,41
3749,28
3750,28
3751,18
3752,26
3753,22
3754,44
3755,35
3756,35
3757,21
3758,17
3759,31
3760,69
3761,37
3762,24
3763,10
3764,21
3765,49
3766,44
3767,16
3768,28
3769,58
3770,29
3771,14
3772,35
3773,12
3774,27
3775,38
3776,21
3777,20
3778,14
3779,29
3780,47
3781,43
3782,35
3783,20
3784,60
3785,23
3786,101
3787,26
3788,21
3789,10
3790,8
3791,26
3792,27
3793,24
3794,46
3795,18
3796,100
3797,65
3798,25
3799,38
3800,51
3801,29
3802,98
3803,85
3804,115
3805,9
3806,42
3807,40
3808,12
3809,32
3810,60
3811,24
3812,28
3813,16
3814,25
3815,16
3816,39
3817,45
3818,74
3819,37
3820,30
3821,24
3822,40
3823,65
3824,18
3825,15
3826,45
3827,61
3828,43
3829,36
3830,45
3831,15
3832,144
3833,43
3834,10
3835,17
3836,23
3837,25
3838,46
3839,36
3840,14
3841,15
3842,24
3843,31
3844,53
3845,24
3846,29
3847,29
3848,54
3849,32
3850,27
3851,22
3852,30
3853,17
3854,19
3855,55
3856,35
3857,36
3858,64
3859,106
3860,24
3861,42
3862,28
3863,36
3864,30
3865,14
3866,44
3867,16
3868,20
3869,31
3870,23
3871,21
3872,53
3873,14
3874,11
3875,31
3876,15
3877,34
3878,32
3879,24
3880,8
3881,21
3882,14
3883,9
3884,33
3885,18
3886,20
3887,63
3888,67
3889,51
3890,33
3891,63
3892,21
3893,48
3894,28
3895,12
3896,26
3897,48
3898,66
3899,47
3900,40
3901,23
3902,17
3903,52
3904,15
3905,84
3906,31
3907,19
3908,35
3909,20
3910,17
3911,43
3912,22
3913,15
3914,12
3915,33
3916,15
3917,23
3918,83
3919,20
3920,28
3921,15
3922,44
3923,31
3924,57
3925,25
3926,12
3927,51
3928,48
3929,35
3930,21
3931,112
3932,26
3933,17
3934,34
3935,65
3936,48
3937,64
3938,13
3939,26
3940,24
3941,21
3942,28
3943,51
3944,64
3945,20
3946,31
3947,20
3948,101
3949,20
3950,74
3951,34
3952,19
3953,78
3954,107
3955,69
3956,31
3957,15
3958,75
3959,64
3960,21
3961,32
3962,39
3963,43
3964,9
3965,20
3966,67
3967,21
3968,15
3969,21
3970,37
3971,14
3972,11
3973,16
3974,36
3975,19
3976,12
3977,23
3978,35
3979,37
3980,98
3981,34
3982,20
3983,26
3984,20
3985,28
3986,27
3987,45
3988,21
3989,60
3990,39
3991,34
3992,16
3993,36
3994,36
3995,29
3996,26
3997,23
3998,23
3999,41
4000,33
4001,52
4002,17
4003,18
4004,60
4005,41
4006,42
4007,39
4008,73
4009,36
4010,29
4011,59
4012,71
4013,25
4014,40
4015,18
4016,50
4017,19
4018,26
4019,18
4020,19
4021,82
4022,18
4023,14
4024,10
4025,28
4026,46
4027,39
4028,25
4029,20
4030,23
4031,23
4032,19
4033,22
4034,48
4035,14
4036,30
4037,13
4038,13
4039,60
4040,11
4041,58
4042,31
4043,63
4044,44
4045,17
4046,42
4047,19
4048,31
4049,45
4050,17
4051,16
4052,46
4053,18
4054,28
4055,30
4056,71
4057,55
4058,11
4059,29
4060,31
4061,19
4062,31
4063,27
4064,42
4065,10
4066,37
4067,25
4068,24
4069,46
4070,19
4071,29
4072,45
4073,22
4074,64
4075,22
4076,31
4077,17
4078,33
4079,21
4080,36
4081,19
4082,56
4083,38
4084,85
4085,28
4086,14
4087,21
4088,17
4089,128
4090,37
4091,48
4092,15
4093,33
4094,51
4095,15
4096,46
4097,26
4098,17
4099,39
4100,16
4101,10
4102,46
4103,40
4104,26
4105,42
4106,30
4107,46
4108,40
4109,16
4110,85
4111,69
4112,60
4113,21
4114,31
4115,13
4116,21
4117,64
4118,14
4119,23
4120,30
4121,18
4122,67
4123,40
4124,68
4125,58
4126,41
4127,33
4128,81
4129,50
4130,25
4131,52
4132,37
4133,67
4134,52
4135,8
4136,50
4137,14
4138,37
4139,12
4140,30
4141,12
4142,31
4143,26
4144,47
4145,38
4146,39
4147,14
4148,18
4149,59
4150,36
4151,18
4152,32
4153,13
4154,25
4155,70
4156,30
4157,18
4158,14
4159,11
4160,9
4161,32
4162,41
4163,15
4164,47
4165,50
4166,15
4167,40
4168,90
4169,16
4170,20
4171,155
4172,8
4173,14
4174,16
4175,27
4176,7
4177,63
4178,51
4179,22
4180,44
4181,23
4182,52
4183,40
4184,15
4185,19
4186,41
4187,76
4188,33
4189,32
4190,70
4191,31
4192,40
4193,16
4194,32
4195,29
4196,29
4197,27
4198,104
4199,37
4200,23
4201,74
4202,9
4203,18
4204,10
4205,34
4206,37
4207,47
4208,23
4209,13
4210,27
4211,29
4212,35
4213,65
4214,22
4215,26
4216,45
4217,51
4218,60
4219,13
4220,38
